hangul	index	code	donor_jp
롱	1525	94C2	板
뢰	1524	94C0	搬
료	1523	94BF	帆
룡	1522	94BD	反
루	1521	94BC	半
룩	1520	94BB	判
룬	1519	94BA	伴
룰	1518	94B2	抜
룸	1517	94B1	罰
룹	1516	94B0	伐
룻	1515	94AF	髪
뤄	1514	94AD	発
뤘	1513	94AA	八
류	1512	94A7	肌
륙	1511	94A0	箱
륜	1510	949A	爆
률	1509	9499	漠
륨	1508	9497	迫
륭	1507	9496	薄
르	1506	9492	白
륵	1505	9491	泊
른	1504	948E	博
를	1503	948D	剥
름	1502	9487	這
릇	1501	9484	売
릉	1500	9483	買
리	1499	947D	媒
릭	1498	947B	倍
린	1497	947A	配
릴	1496	9479	輩
림	1495	9477	背
립	1494	9474	杯
릿	1493	9473	敗
링	1492	9472	排
마	1491	9471	拝
막	1490	9470	廃
만	1489	946F	俳
많	1488	946E	馬
말	1487	946B	婆
맑	1486	946A	破
맘	1485	9468	派
맙	1484	9467	波
맛	1483	9465	覇
망	1482	945F	農
맞	1481	945D	脳
맡	1480	945C	能
맣	1479	945B	納
매	1478	945A	濃
맥	1477	9459	悩
맨	1476	9456	之
맵	1475	9453	粘
맹	1474	9452	燃
맺	1473	944F	念
머	1472	944E	年
먹	1471	944D	熱
먼	1470	944C	猫
멀	1469	9446	認
멈	1468	9445	忍
멋	1467	9443	任
멍	1466	93FC	入
메	1465	93FA	日
멤	1464	93F7	肉
멧	1463	93F6	賑
며	1462	93F5	匂
면	1461	93F1	二
멸	1460	93F0	汝
명	1459	93EF	難
몇	1458	93EC	南
모	1457	93EA	縄
목	1456	93E4	謎
몫	1455	93E0	内
몬	1454	93DF	那
몰	1453	93DE	奈
몸	1452	93DD	鈍
몹	1451	93DA	頓
못	1450	93D7	沌
몽	1449	93CD	届
묘	1448	93CB	突
무	1447	93C7	読
묵	1446	93C6	独
묶	1445	93C5	毒
문	1444	93C1	特
묻	1443	93BF	徳
물	1442	93BE	得
뭉	1441	93B9	道
뭐	1440	93B6	童
뭔	1439	93B4	洞
뭘	1438	93B2	憧
뭣	1437	93B1	導
뮤	1436	93B0	堂
뮬	1435	93AF	同
므	1434	93AE	動
미	1433	93AD	働
믹	1432	93AC	闘
민	1431	93AA	頭
믿	1430	93A7	透
밀	1429	93A6	逃
밉	1428	93A5	踏
밌	1427	93A2	討
밍	1426	93A1	藤
및	1425	939E	到
밑	1424	939D	統
바	1423	939B	筒
박	1422	939A	答
밖	1421	9399	等
반	1420	9396	当
받	1419	9394	灯
발	1418	9393	涛
밝	1417	9390	盗
밟	1416	938C	東
밤	1415	938B	搭
밥	1414	938A	投
방	1413	9387	島
배	1412	9383	塔
백	1411	9382	唐
밴	1410	9381	刀
뱀	1409	9380	凍
뱃	1408	937D	党
뱅	1407	937C	倒
버	1406	937B	怒
벅	1405	937A	奴
번	1404	9379	土
벌	1403	9378	度
범	1402	9377	努
법	1401	9373	都
벗	1400	9372	途
벚	1399	9371	賭
베	1398	936F	登
벤	1397	936E	渡
벨	1396	936B	徒
벵	1395	9368	塗
벼	1394	9366	吐
벽	1393	9365	兎
변	1392	9364	電
별	1391	9363	田
볍	1390	9361	殿
병	1389	9360	伝
보	1388	935F	点
복	1387	935D	転
본	1386	935A	纏
볼	1385	9359	添
봄	1384	9358	店
봅	1383	9357	展
봉	1382	9356	天
봐	1381	9354	典
