path	lba	size	oob
/KB00.MAP	137968	162324	0
/KB10.MAP	138048	177560	0
/KB20.MAP	138135	195996	0
/TJ71.MAP	138231	208604	0
/TJ70.MAP	138333	206668	0
/TJ32.MAP	138434	159220	0
/TJ31.MAP	138512	208596	0
/TJ30.MAP	138614	169112	0
/TJ61.MAP	138697	241784	0
/TJ62.MAP	138816	172044	0
/TJ20.MAP	138901	137704	0
/TJ60.MAP	138969	153000	0
/TJ21.MAP	139044	194760	0
/TJ22.MAP	139140	142008	0
/TJ51.MAP	139210	227608	0
/TJ11.MAP	139322	187752	0
/TJ41.MAP	139414	255172	0
/TJ50.MAP	139539	146992	0
/TJ40.MAP	139611	254880	0
/TJ01.MAP	139736	228628	0
/TJ10.MAP	139848	131556	0
/TJ00.MAP	139913	225760	0
/TM40.MAP	140024	125988	0
/TM30.MAP	140086	184576	0
/TM20.MAP	140177	148680	0
/TM00.MAP	140250	253584	0
/TM10.MAP	140374	146052	0
/BL50.MAP	140446	132756	0
/BL40.MAP	140511	157320	0
/BL00.MAP	140588	204480	0
/BL30.MAP	140688	115448	0
/BL20.MAP	140745	135312	0
/BL10.MAP	140812	124240	0
/CT20.MAP	140873	265940	0
/CT10.MAP	141003	287216	0
/CT00.MAP	141144	258384	0
/JG01.MAP	141271	220956	0
/QH01.MAP	141379	262188	0
/OT02.MAP	141508	278468	0
/NZ11.MAP	141644	141668	0
/KM01.MAP	141714	252868	0
/IG01.MAP	141838	254104	0
/HL11.MAP	141963	168224	0
/GM01.MAP	142046	276748	0
/CK01.MAP	142182	255800	0
/AT01.MAP	142307	259264	0
/WY01.MAP	142434	301344	0
/WC01.MAP	142582	263064	0
/WR01.MAP	142711	319460	0
/OT01.MAP	142867	274460	0
/ZM01.MAP	143002	238748	0
/KB01.MAP	143119	158108	0
/WR10.MAP	143197	291096	0
/RS01.MAP	143340	94632	0
/DG21.MAP	143387	199904	0
/MP01.MAP	143485	258200	0
/NT31.MAP	143612	233600	0
/ES01.MAP	143727	142200	0
/ES10.MAP	143797	210080	0
/WS01.MAP	143900	147460	0
/WS10.MAP	143973	215272	0
/ES00.MAP	144079	201084	0
/MK00.MAP	144178	210784	0
/WS00.MAP	144281	206888	0
/RS00.MAP	144383	91200	0
/RT30.MAP	144428	172740	0
/RT20.MAP	144513	254864	0
/RT00.MAP	144638	254136	0
/QH00.MAP	144763	278156	0
/IZ00.MAP	144899	187644	0
/ZM00.MAP	144991	250816	0
/DG10.MAP	145114	180380	0
/DG00.MAP	145203	216952	0
/IS10.MAP	145309	122336	0
/DS10.MAP	145369	196328	0
/IS00.MAP	145465	257196	0
/KR00.MAP	145591	206248	0
/DS00.MAP	145692	262460	0
/JG02.MAP	145821	231396	0
/JG10.MAP	145934	243952	0
/JG00.MAP	146054	244776	0
/ST10.MAP	146174	116224	0
/ST00.MAP	146231	262628	0
/OT10.MAP	146360	290156	0
/OT00.MAP	146502	285448	0
/AT20.MAP	146642	187852	0
/AT10.MAP	146734	203548	0
/AT00.MAP	146834	249408	0
/MP00.MAP	146956	313664	0
/KS00.MAP	147110	266548	0
/GB00.MAP	147241	287524	0
/DL00.MAP	147382	161920	0
/IP10.MAP	147462	178360	0
/IP00.MAP	147550	258032	0
/SB00.MAP	147676	219056	0
/NT21.MAP	147783	193028	0
/NT30.MAP	147878	167884	0
/NT20.MAP	147960	210972	0
/NT10.MAP	148064	224832	0
/NT00.MAP	148174	154784	0
/HL10.MAP	148250	176340	0
/HL00.MAP	148337	259380	0
/KK01.MAP	148464	201312	0
/KK00.MAP	148563	204984	0
/CK00.MAP	148664	300336	0
/OB00.MAP	148811	257764	0
/MH00.MAP	148937	307672	0
/GT20.MAP	149088	187212	0
/GT10.MAP	149180	129744	0
/KD00.MAP	149244	237200	0
/SK10.MAP	149360	162924	0
/SK00.MAP	149440	183268	0
/HY00.MAP	149530	262164	0
/KM10.MAP	149659	155524	0
/KM00.MAP	149735	277468	0
/KZ00.MAP	149871	222824	0
/GH00.MAP	149980	275736	0
/HS10.MAP	150115	312928	0
/HS00.MAP	150268	154368	0
/GM00.MAP	150344	317880	0
/IY00.MAP	150500	213396	0
/NJ10.MAP	150605	217460	0
/NJ00.MAP	150712	224544	0
/IG10.MAP	150822	266252	0
/IG00.MAP	150953	279912	0
/NZ10.MAP	151090	149112	0
/NZ00.MAP	151163	188304	0
/WR02.MAP	151255	328084	0
/WY02.MAP	151416	310112	0
/WK00.MAP	151568	140776	0
/WR00.MAP	151637	350800	0
/WC00.MAP	151809	295352	0
/SS10.MAP	151954	162096	0
/SS00.MAP	152034	162048	0
/WY00.MAP	152114	328356	0
/BOT5.MAP	152275	91928	0
/TTTT.MAP	152320	217320	0
/BOT4.MAP	152427	92420	0
/BOT3.MAP	152473	91988	0
/IXXX.MAP	152518	85912	0
/TST2.MAP	152560	240152	0
/BOOT2.MAP	152678	250540	0
/BOOT.MAP	152801	89432	0
/TEST.MAP	152845	247840	0
/PLAYER.PCH	152967	178920	0
/DG20.MAP	153055	142084	0
/BOOT3.MAP	153125	88128	0
/BOOT1.MAP	153169	88160	0
/DL10.MAP	153213	103596	0
/WAZAHELP.MSG	153264	13116	0
/ITEMHELP.MSG	153271	11728	0
/START1.P	153277	157700	0
/START2.P	153355	157700	0
/RDR_WR10.DG2	153433	4358	0
/RDR_WR00.DG2	153436	4358	0
/RDR_WY00.DG2	153439	4214	0
/BOUGU_D.P	153442	157700	0
/RINGICON.DAT	153520	142508	0
/RDR_WC00.DG2	153590	3974	0
/BUKIYA_D.P	153592	157700	0
/DOUGU_D.P	153670	157700	0
/ETC_FG_C.DAT	153748	38924	0
/IZAKAYA.P	153768	157700	0
/NOBG.DG2	153846	20486	0
/YAMATAI2.P	153857	157700	0
/YAMATAI3.P	153935	157700	0
/LEVEL_UP.P	154013	157700	0
/RDR_WK00.DG2	154091	2166	0
/NLOADB0.P	154093	52100	0
/NLOADB1.P	154119	52100	0
/NLOADC0.P	154145	52100	0
/NLOADG0.P	154171	52100	0
/DIARY.MSG	154197	13028	0
/NLOADF0.P	154204	52100	0
/NLOADF1.P	154230	52100	0
/NLOADG1.P	154256	52100	0
/NLOADH0.P	154282	52100	0
/NLOADH1.P	154308	52100	0
/NLOADI0.P	154334	52100	0
/NLOADI1.P	154360	52100	0
/NLOADJ0.P	154386	52100	0
/NLOADJ1.P	154412	52100	0
/NLOADA0.P	154438	52100	0
/NLOADA1.P	154464	52100	0
/NLOADC1.P	154490	52100	0
/NLOADD0.P	154516	52100	0
/NLOADD1.P	154542	52100	0
/NLOADE0.P	154568	52100	0
/NLOADE1.P	154594	52100	0
/YAMATAI.P	154620	157700	0
/ETC_FG_B.DAT	154698	51132	0
/ETC_FG_D.DAT	154723	50364	0
/PR_10.ADP	154748	843380	0
/PR_06.ADP	155160	829166	0
/PR_05.ADP	155565	974090	0
/PR_04.ADP	156041	948588	0
/PR_03.ADP	156505	1070270	0
/PR_02.ADP	157028	756328	0
/PR_00.ADP	157398	627772	0
/PR_13.ADP	157705	798948	0
/PR_12.ADP	158096	275700	0
